
running 43 tests
test cache::tests::two_jobs_for_one_site_are_not_offered_at_the_same_time ... ok
test cache::tests::version_history_is_capped_per_url ... ok
test cache::tests::writing_a_key_twice_replaces_it_rather_than_failing ... ok
test capacity::tests::a_big_machine_still_respects_the_configured_ceiling ... ok
test capacity::tests::a_small_machine_is_not_asked_to_run_the_configured_number_of_browsers ... ok
test capacity::tests::browsers_already_open_count_against_the_budget ... ok
test capacity::tests::http_work_is_allowed_far_more_than_browser_work ... ok
test capacity::tests::the_limit_is_never_zero ... ok
test capacity::tests::this_machine_reports_a_plausible_core_count ... ok
test challenge::tests::a_managed_cloudflare_page_yields_its_inline_sitekey ... ok
test challenge::tests::a_page_with_no_widget_is_still_none ... ok
test challenge::tests::a_page_with_no_widget_yields_nothing ... ok
test challenge::tests::a_proof_of_work_widget_is_recognised_as_computable ... ok
test challenge::tests::a_turnstile_widget_yields_its_sitekey_action_and_cdata ... ok
test challenge::tests::a_widget_injected_by_script_is_still_found_through_its_traffic ... ok
test challenge::tests::an_ordinary_page_yields_no_widgets_at_all ... ok
test challenge::tests::an_ordinary_widget_is_not_mistaken_for_computable ... ok
test challenge::tests::an_unrelated_sitekey_field_is_not_a_challenge ... ok
test challenge::tests::attribute_lookup_stays_inside_its_own_tag ... ok
test challenge::tests::hcaptcha_is_recognised ... ok
test challenge::tests::recaptcha_v2_is_recognised ... ok
test challenge::tests::recaptcha_v3_is_read_from_the_script_url ... ok
test challenge::tests::the_generic_detector_finds_widgets_the_hand_written_one_never_knew_about ... ok
test challenge::tests::traffic_detection_does_not_report_the_same_widget_twice ... ok
test challenge::tests::unquoted_and_single_quoted_attributes_both_parse ... ok
test classify::tests::a_challenge_that_says_it_passed_is_worth_waiting_for ... ok
test classify::tests::a_clearance_only_a_live_runtime_can_hold_is_told_apart_from_a_cookie_one ... ok
test classify::tests::a_cookie_name_is_read_off_a_set_cookie_line_and_its_value_is_left_behind ... ok
test classify::tests::a_header_value_that_merely_mentions_a_vendor_is_not_read_as_that_header_arriving ... ok
test classify::tests::a_lapsed_clearance_is_re_earned_when_only_the_wire_says_so ... ok
test classify::tests::a_page_a_local_product_has_written_into_is_recognised ... ok
test classify::tests::a_page_that_discusses_404s_at_length_is_not_mistaken_for_one ... ok
test classify::tests::a_page_that_really_arrived_is_still_delivered_when_the_vendor_is_on_the_wire ... ok
test classify::tests::a_proof_of_work_clearance_is_re_earned_before_it_lapses_and_never_otherwise ... ok
test classify::tests::a_real_page_is_not_caught_by_the_empty_document_rule ... ok
test classify::tests::a_redirect_carrying_only_a_notice_is_not_the_page ... ok
test classify::tests::a_redirect_that_carries_a_whole_page_is_left_alone ... ok
test classify::tests::a_redirect_with_no_body_says_it_was_a_redirect ... ok
test classify::tests::a_response_with_no_document_at_all_is_never_a_delivered_page ... ok
test classify::tests::a_subscription_stub_is_told_apart_from_the_article_it_is_hiding ... ok
test classify::tests::a_two_hundred_that_says_the_page_is_gone_is_not_a_delivered_page ... ok
test classify::tests::a_vendors_hard_block_is_told_apart_from_its_challenge ... ok
test classify::tests::a_wall_that_names_the_address_is_recognised_as_one ... ok
test classify::tests::a_wall_whose_only_tell_is_a_cookie_is_named_from_it ... ok
test classify::tests::a_wall_whose_only_tell_is_a_response_header_is_named_from_it ... ok
test classify::tests::a_whole_article_with_a_subscribe_box_at_the_bottom_is_still_the_article ... ok
test classify::tests::an_article_about_things_going_wrong_is_still_an_article ... ok
test classify::tests::an_interstitial_that_verifies_on_its_own_is_recognised_as_one ... ok
test classify::tests::clamp_to_boundary_never_splits_a_character ... ok
test classify::tests::every_vendor_sign_is_declared_once_with_the_channel_it_arrives_on ... ok
test classify::tests::every_wall_the_benchmark_names_is_one_the_classifier_knows ... ok
test classify::tests::geo_gate_is_detected ... ok
test classify::tests::scan_cap_holds_at_a_multibyte_boundary ... ok
test classify::tests::small_static_page_is_genuine ... ok
test classify::tests::test_cloudflare ... ok
test classify::tests::test_hold ... ok
test classify::tests::test_none ... ok
test classify::tests::the_managed_challenge_is_told_apart_from_just_a_moment ... ok
test classify::tests::the_proof_of_work_wall_is_recognised_from_its_sdk_and_not_from_a_challenge_page ... ok
test classify::tests::the_sites_own_error_template_is_not_the_page ... ok
test classify::tests::unrendered_spa_shell_is_empty ... ok
test coherence::tests::a_chrome_ua_on_a_firefox_engine_is_caught ... ok
test coherence::tests::a_firefox_that_would_emit_client_hints_is_caught ... ok
test coherence::tests::a_masked_renderer_on_chrome_is_caught_but_fine_on_firefox ... ok
test coherence::tests::a_renderer_never_belongs_to_another_platform ... ok
test coherence::tests::a_taskbarless_desktop_and_an_oversized_window_are_caught ... ok
test coherence::tests::device_memory_is_only_ever_a_value_the_api_reports ... ok
test coherence::tests::every_machine_the_fleet_draws_is_coherent ... ok
test coherence::tests::memory_and_cores_belong_to_the_same_class_of_machine ... ok
test coherence::tests::software_renderers_are_recognised ... ok
test coherence::tests::the_default_identities_are_coherent ... ok
test coherence::tests::the_phone_identity_is_coherent ... ok
test config::tests::a_config_file_that_says_nothing_about_the_rest_api_still_parses ... ok
test config::tests::a_pinned_key_in_the_config_beats_the_file ... ok
test config::tests::an_empty_environment_variable_is_not_a_key ... ok
test config::tests::an_empty_key_in_the_config_is_not_a_key ... ok
test config::tests::settings_are_validated_and_do_not_rewrite_user_configuration ... ok
test config::tests::the_environment_beats_the_file_when_both_have_a_key ... ok
test config::tests::the_kept_page_budget_expires_before_the_browser_that_holds_it ... ok
test config::tests::the_key_survives_a_restart ... ok
test config::tests::the_rest_api_is_off_until_it_is_asked_for ... ok
test dedup::tests::a_small_edit_stays_close_and_unrelated_text_stays_far ... ok
test dedup::tests::boilerplate_stripping_is_inert_before_enough_pages ... ok
test dedup::tests::case_and_punctuation_do_not_change_the_hash ... ok
test dedup::tests::different_pages_are_all_kept ... ok
test dedup::tests::how_much_of_a_page_is_the_sites_own_furniture_is_a_number_the_caller_can_have ... ok
test dedup::tests::identical_text_hashes_identically ... ok
test dedup::tests::shared_boilerplate_is_stripped_and_unique_content_survives ... ok
test dedup::tests::simhash_is_pinned ... ok
test dedup::tests::the_index_reports_the_url_a_page_duplicates ... ok
test dedup::tests::the_share_is_absent_rather_than_zero_before_enough_pages ... ok
test dedup::tests::two_empty_pages_are_not_treated_as_duplicates ... ok
test document::tests::a_document_is_recognised_by_type_then_bytes_then_name ... ok
test document::tests::a_document_that_is_not_one_fails_without_taking_the_process_down ... ok
test document::tests::an_oversized_document_is_refused_before_it_is_parsed ... ok
test document::tests::rtf_and_csv_become_markdown ... ok
test domain::tests::normalize_is_idempotent ... ok
test domain::tests::normalize_strips_tracking_and_sorts_the_query ... ok
test domain::tests::same_site_covers_subdomains_both_ways ... ok
test domain::tests::stable_hash_is_pinned ... ok
test domain::tests::test_domain ... ok
test exits::tests::a_retired_exit_is_not_offered_again_for_that_domain_but_another_domain_may_use_it ... ok
test exits::tests::a_retired_exit_recovers_with_time_and_carries_its_latency ... ok
test exits::tests::an_over_budget_exit_is_skipped_like_a_retired_one ... ok
test exits::tests::round_robin_walks_the_pool_in_order ... ok
test exits::tests::sticky_keeps_the_same_exit_until_it_is_retired ... ok
test exits::tests::subdomains_inherit_the_pool_and_a_single_route_is_a_pool_of_one ... ok
test exits::tests::the_identity_wears_the_exit_country_when_one_is_declared ... ok
test exits::tests::when_every_exit_is_retired_the_healthiest_is_still_used ... ok
test export::tests::a_column_that_only_some_rows_have_is_still_a_column ... ok
test export::tests::a_negative_number_is_a_number_and_not_treated_as_a_formula ... ok
test export::tests::a_nested_value_keeps_its_content_instead_of_becoming_a_type_name ... ok
test export::tests::a_scraped_cell_can_never_become_a_formula_in_a_spreadsheet ... ok
test export::tests::commas_quotes_and_newlines_survive_the_round_trip ... ok
test export::tests::every_row_lands_under_the_right_column ... ok
test export::tests::json_lines_is_one_row_per_line_and_nothing_else ... ok
test export::tests::nothing_to_export_is_an_empty_file_rather_than_a_broken_one ... ok
test export::tests::rows_that_are_not_objects_do_not_take_the_export_down ... ok
test export::tests::the_format_comes_off_the_name_the_caller_already_chose ... ok
test export::tests::the_header_order_is_the_order_the_rows_present_their_keys_in ... ok
test fleet::tests::a_high_dpi_screen_carries_a_high_dpi_ratio ... ok
test fleet::tests::a_machine_is_internally_coherent ... ok
test fleet::tests::device_memory_is_only_ever_a_value_the_api_reports ... ok
test fleet::tests::different_seeds_really_do_spread ... ok
test fleet::tests::the_common_case_stays_common ... ok
test fleet::tests::the_gpu_always_belongs_to_the_operating_system ... ok
test fleet::tests::the_same_seed_is_always_the_same_machine ... ok
test forms::tests::a_form_pointing_somewhere_that_is_not_the_web_is_refused ... ok
test forms::tests::a_form_with_no_named_field_produces_nothing ... ok
test forms::tests::a_post_only_form_is_refused_rather_than_turned_into_a_get ... ok
test forms::tests::a_relative_action_resolves_against_the_page_it_was_found_on ... ok
test forms::tests::a_search_box_becomes_a_url_anything_can_fetch ... ok
test forms::tests::an_empty_action_means_this_page ... ok
test forms::tests::hidden_fields_are_submitted_because_the_site_is_expecting_them ... ok
test forms::tests::the_finder_matches_what_a_field_is_for_rather_than_what_it_is_called ... ok
test forms::tests::the_forms_own_parameters_survive ... ok
test forms::tests::the_query_field_appears_once_even_if_the_action_already_had_it ... ok
test forms::tests::the_query_is_escaped_rather_than_pasted_in ... ok
test frontier::tests::a_breadth_first_crawl_finishes_a_level_before_starting_the_next ... ok
test frontier::tests::a_depth_first_crawl_follows_one_branch_to_its_end ... ok
test frontier::tests::a_feed_entry_outranks_a_plain_link_from_the_same_depth ... ok
test frontier::tests::a_page_already_fetched_is_not_queued_again ... ok
test frontier::tests::a_restored_candidate_keeps_the_score_it_was_saved_with ... ok
test frontier::tests::a_snapshot_covers_everything_still_queued ... ok
test frontier::tests::a_term_that_appears_everywhere_stops_driving_the_ranking ... ok
test frontier::tests::an_unparseable_url_is_refused_rather_than_queued ... ok
test frontier::tests::anchor_text_counts_as_much_as_the_path ... ok
test frontier::tests::faceted_and_archive_urls_sink ... ok
test frontier::tests::recent_pages_outrank_stale_ones ... ok
test frontier::tests::shallower_pages_win_all_else_equal ... ok
test frontier::tests::siblings_at_the_same_depth_still_have_an_order ... ok
test frontier::tests::the_default_order_is_the_one_that_was_there_before ... ok
test frontier::tests::the_highest_scoring_candidate_comes_out_first ... ok
test frontier::tests::tracking_variants_are_recognised_as_the_same_page ... ok
test geo::tests::a_country_resolves_to_a_consistent_set ... ok
test geo::tests::an_unknown_country_is_none_rather_than_a_guess ... ok
test geo::tests::every_row_is_internally_consistent ... ok
test geo::tests::no_country_appears_twice ... ok
test geo::tests::the_lookup_does_not_care_about_case_or_padding ... ok
test geo::tests::the_places_proxies_are_actually_sold_are_covered ... ok
test growth::tests::a_load_more_button_earns_the_page_another_look_but_only_once ... ok
test growth::tests::growth_keeps_going_and_two_quiet_rounds_end_it ... ok
test growth::tests::text_growth_counts_even_when_height_does_not ... ok
test growth::tests::the_round_cap_is_final ... ok
test identity::tests::a_firefox_identity_is_gecko_all_the_way_down ... ok
test identity::tests::a_machine_and_a_country_compose_without_fighting ... ok
test identity::tests::a_phone_is_a_phone_all_the_way_through ... ok
test identity::tests::a_seeded_machine_is_coherent_with_the_identity_that_wears_it ... ok
test identity::tests::advertised_major_is_clamped_to_what_tls_can_emulate ... ok
test identity::tests::an_older_browser_wins_over_the_cap ... ok
test identity::tests::an_unknown_country_leaves_the_identity_untouched ... ok
test identity::tests::available_screen_is_smaller_than_the_screen ... ok
test identity::tests::chrome_still_sends_client_hints_and_leads_with_them ... ok
test identity::tests::language_tags_carry_no_quality_values ... ok
test identity::tests::moving_to_a_country_moves_the_timezone_and_the_languages_together ... ok
test identity::tests::nav_headers_are_in_chrome_order_and_unique ... ok
test identity::tests::noise_seed_is_stable_for_the_same_identity ... ok
test identity::tests::the_firefox_ceiling_is_the_one_the_tls_engine_can_emulate ... ok
test identity::tests::the_language_list_the_browser_reports_follows_the_country ... ok
test identity::tests::the_same_seed_gives_the_same_machine_twice ... ok
test identity::tests::two_seeds_really_are_two_machines ... ok
test identity::tests::ua_platform_matches_the_declared_os ... ok
test identity::tests::ua_sec_ch_ua_and_metadata_all_state_the_same_version ... ok
test identity::tests::window_chrome_is_a_realistic_height ... ok
test incremental::tests::a_date_nobody_can_parse_says_nothing_rather_than_something_wrong ... ok
test incremental::tests::a_page_nobody_has_read_yet_is_always_fetched ... ok
test incremental::tests::a_page_that_has_not_moved_since_we_read_it_is_left_alone ... ok
test incremental::tests::a_page_the_site_says_changed_is_fetched_again ... ok
test incremental::tests::a_plan_says_what_it_is_doing_and_why_for_every_url ... ok
test incremental::tests::a_site_that_publishes_no_dates_is_still_crawled ... ok
test incremental::tests::both_date_shapes_a_sitemap_can_carry_are_read ... ok
test incremental::tests::the_epoch_and_a_leap_day_both_land_where_they_should ... ok
test ladder::tests::a_domain_that_offers_h3_gets_one_cheap_attempt_before_the_tier_it_was_walled_at ... ok
test ladder::tests::a_forced_mode_is_never_widened_by_the_probe ... ok
test ladder::tests::ladder_respects_cap ... ok
test ladder::tests::the_probe_never_duplicates_a_tier_the_ladder_already_starts_at ... ok
test lan::tests::a_bind_that_is_not_loopback_counts_as_reachable ... ok
test lan::tests::a_machine_with_no_address_on_the_network_advertises_nothing ... ok
test lan::tests::a_server_listening_everywhere_advertises_the_address_a_phone_can_reach ... ok
test lan::tests::a_server_on_loopback_advertises_no_lan_address_at_all ... ok
test lan::tests::asking_this_machine_for_its_address_never_panics_and_never_returns_loopback ... ok
test lan::tests::the_token_travels_with_it_because_the_page_is_useless_without_one ... ok
test llms_txt::tests::a_description_is_used_when_there_is_one ... ok
test llms_txt::tests::a_long_description_is_cut_on_a_word_boundary ... ok
test llms_txt::tests::an_untitled_page_falls_back_to_its_url ... ok
test llms_txt::tests::brackets_in_a_title_do_not_break_the_link ... ok
test llms_txt::tests::full_output_stops_at_the_token_budget ... ok
test llms_txt::tests::pages_are_grouped_by_their_first_path_segment ... ok
test llms_txt::tests::the_largest_section_comes_first_and_the_order_is_stable ... ok
test llms_txt::tests::the_tagline_becomes_a_blockquote ... ok
test llms_txt::tests::without_a_description_the_first_real_paragraph_is_used ... ok
test pagination::tests::a_number_in_a_path_is_not_assumed_to_be_a_page ... ok
test pagination::tests::a_page_number_in_the_path_is_found_when_it_is_labelled ... ok
test pagination::tests::a_page_number_in_the_query_is_found_and_advanced ... ok
test pagination::tests::a_url_with_no_page_number_has_no_next_page ... ok
test pagination::tests::a_zero_offset_gives_no_stride_to_infer_so_nothing_is_guessed ... ok
test pagination::tests::an_offset_steps_by_its_own_size_rather_than_by_one ... ok
test pagination::tests::the_first_page_parameter_wins_when_there_are_two ... ok
test pagination::tests::the_parameter_name_is_preserved_exactly_as_written ... ok
test pdf::tests::a_single_page_gets_no_page_markers ... ok
test pdf::tests::a_truncated_pdf_is_an_error_not_a_crash ... ok
test pdf::tests::an_oversized_file_is_refused_before_parsing ... ok
test pdf::tests::content_type_or_magic_bytes_both_identify_a_pdf ... ok
test pdf::tests::repeated_running_heads_are_dropped_and_hyphens_rejoined ... ok
test pdf::tests::something_that_is_not_a_pdf_is_refused ... ok
test pdf::tests::the_page_limit_is_reported ... ok
test policy::tests::a_host_is_matched_whole_and_never_by_its_ending_as_text ... ok
test policy::tests::a_local_file_is_refused_unless_a_root_covers_it ... ok
test policy::tests::a_public_address_that_only_looks_private_is_still_fetched ... ok
test policy::tests::a_refusal_says_enough_for_the_caller_to_act_on_it ... ok
test policy::tests::a_rule_written_with_a_star_means_what_the_person_writing_it_meant ... ok
test policy::tests::a_url_with_credentials_is_matched_on_its_real_host ... ok
test policy::tests::an_allow_list_is_a_fence_not_a_preference ... ok
test policy::tests::blocking_wins_over_allowing ... ok
test policy::tests::only_http_urls_are_fetchable_at_all ... ok
test policy::tests::raw_html_needs_no_network_and_no_permission ... ok
test policy::tests::the_address_that_hands_out_cloud_credentials_is_refused ... ok
test policy::tests::the_guarded_policy_lets_the_web_through_and_keeps_the_machine_out ... ok
test policy::tests::turning_the_private_guard_off_is_possible_for_someone_who_means_it ... ok
test pow::tests::a_bit_target_is_solved_and_the_answer_verifies ... ok
test pow::tests::a_different_salt_needs_a_different_answer ... ok
test pow::tests::a_difficulty_nobody_could_mean_is_refused ... ok
test pow::tests::a_difficulty_of_zero_is_satisfied_immediately ... ok
test pow::tests::a_hex_prefix_target_is_solved_too ... ok
test pow::tests::an_impossible_budget_gives_up_instead_of_spinning ... ok
test pow::tests::leading_zeroes_are_counted_in_bits_not_bytes ... ok
test pow::tests::the_same_challenge_always_gives_the_same_answer ... ok
test pow::tests::the_two_conventions_are_told_apart ... ok
test profiles::tests::a_fresh_profile_is_minted_and_remembered ... ok
test profiles::tests::a_named_profile_carries_its_machine_across_sites ... ok
test profiles::tests::a_profile_directory_that_does_not_exist_yet_is_fresh ... ok
test profiles::tests::a_profile_that_predates_the_fleet_keeps_its_machine ... ok
test profiles::tests::a_tier_without_a_profile_still_gets_a_machine ... ok
test profiles::tests::different_keys_are_different_machines ... ok
test profiles::tests::the_same_key_is_always_the_same_machine ... ok
